"","Bioreactor","MESO.04","MESO.11","MESO.13","MESO.16","MESO.23","MESO.24","MESO.36","MESO.40","MESO.43","MESO.44","Old","PSF.Compost","PSF.Compost.1","PSF.E.1","PSF.E.2","PSF.E.3","PSF.E.Sand.1","PSF.E.Sand.2","PSF.E.Sand.3","PSF.W.1","PSF.W.2","PSF.W.3","PSF.W.Sand.1","PSF.W.Sand.2","PSF.W.Sand.3","TOKA.006.10","TOKA.006.40","TOKA.007.10","TOKA.007.40","TOKA.013.10","TOKA.013.40","TOKA.016.10","TOKA.016.40","TOKA.018.10","TOKA.018.40","TOKA.022.10","TOKA.022.40","TOKA.029.10","TOKA.029.40","TOKA.030.10","TOKA.030.40","TOKA.034.10","TOKA.034.40","TOKA.041.10","TOKA.041.40","TOKA.055.10","TOKA.055.40","TOKA.057.10","TOKA.057.40","TOKA.060.10","TOKA.060.40","TOKA.061.10","TOKA.061.40","TOKA.064.10","TOKA.064.40","TOKA.067.10","TOKA.067.40","TOKA.068.10","TOKA.068.40","TOKA.080.10","TOKA.080.40","TOKA.089.10","TOKA.089.40","TOKA.099.10","TOKA.099.40","TOKA.104.10","TOKA.104.40","TOKA.111.10","TOKA.111.40","TOKA.115.10","TOKA.115.40","TOKA.119.10","TOKA.119.40","TOKA.126.10","TOKA.126.40","TOKA.129.10","TOKA.129.40","TOKA.135.10","TOKA.135.40","TOKA.137.10","TOKA.137.40","TOKA.169.10","TOKA.169.40","TOKA.170.10","TOKA.170.40","TOLAY","TOLAY.1","TOLAY.2","TOLAY.3","TOLAY.4","TOLAY.5","Unsterilized","Unsterilized.1"
"Seq 1",0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"Seq 2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Seq 3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Seq 4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Seq 5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
"Seq 6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0
"Seq 7",0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Seq 8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Seq 9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0
"Seq 10",0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
